City	ViolentCrime2010	ViolentCrime2011	Murder2010	Murder2011	Rape2010	Rape2011
GAINESVILLE	338.55	366.70	1.61	2.41	33.77	31.36
HIALEAH	219.43	193.17	2.67	1.78	5.79	8.01
HOLLYWOOD 	208.14	215.96	2.13	-	14.21	21.31
JACKSONVILLE	320.09	315.96	4.13	4.13	12.75	21.99
MIAMI	583.54	579.04	9.26	8.51	5.01	11.01
MIAMI GARDENS	494.56	448.83	10.26	7.46	9.33	11.20
MIRAMAR	211.40	213.04	0.82	1.64	10.65	17.21
ORLANDO	519.93	553.92	4.20	6.29	20.56	20.98
PALM BAY	250.02	292.66	1.94	-	12.60	12.60
PEMBROKE PINES 	91.11	103.39	1.29	0.65	5.17	10.34
POMPANO BEACH	501.78	455.71	4.01	2.00	25.04	26.04
PORT ST. LUCIE	111.78	111.18	1.82	1.22	12.15	10.94
ST. PETERSBURG	576.46	530.30	2.45	5.31	25.74	22.47
TALLAHASSEE 	487.94	482.42	3.31	3.31	37.49	24.26
TAMPA 	319.32	330.05	3.87	5.36	5.96	8.94
WEST PALM BEACH	411.33	370.30	11.01	8.01	30.02	24.02
ATHENS-CLARKE COUNTY	160.91	172.16	0.87	3.46	8.65	12.11
ATLANTA	639.28	672.85	9.52	1-	9.29	16.67
COLUMBUS	269.11	227.51	2.63	2.11	11.06	9.48
SAVANNAH-CHATHAM METROPOLITAN	182.57	177.20	3.13	5.37	8.05	5.82
BOISE  	124.96	116.21	0.97	0.49	21.88	13.13
AURORA	148.06	133.40	0.51	0.51	13.64	7.58
CHICAGO	-	-	7.90	6.83	-	-
ELGIN	162.68	116.46	2.77	-	45.29	32.35
JOLIET	175.67	215.69	4.75	1.36	12.21	17.64
PEORIA	412.15	313.89	13.04	6.09	17.39	16.52
ROCKFORD	718.25	677.70	7.20	7.85	35.98	34.02
SPRINGFIELD	618.49	553.98	2.58	4.30	45.59	42.15
EVANSVILLE	213.75	193.31	2.55	0.85	27.25	25.55
FORT WAYNE4	141.12	131.26	4.73	4.34	17.74	15.77
SOUTH BEND	332.12	322.24	1.98	4.94	24.71	28.67
CEDAR RAPIDS	152.78	126.66	0.79	0.79	13.46	13.46
DES MOINES	240.87	247.26	0.49	1.47	28.51	27.04
KANSAS CITY4	266.14	299.07	7.55	10.97	22.64	28.12
OVERLAND PARK	84.21	92.29	-	-	13.27	21.34
TOPEKA	243.19	250.25	4.71	2.35	16.47	21.18
WICHITA 	375.82	397.78	2.35	3.40	30.08	29.55
LEXINGTON	268.08	258.96	2.37	3.38	18.59	14.20
LOUISVILLE METRO	273.85	285.51	3.33	3.03	17.41	16.20
LAFAYETTE	407.05	353.17	4.15	0.83	9.95	8.29
NEW ORLEANS	388.57	369.08	30.54	30.54	16.00	22.69
SHREVEPORT	349.20	366.26	6.02	4.01	27.09	26.09
BALTIMORE	704.39	692.96	16.10	16.27	13.04	27.54
BOSTON	470.86	403.83	4.70	3.40	22.83	24.29
CAMBRIDGE	187.33	212.05	-	0.95	9.51	14.26
LOWELL	580.18	441.24	1.88	2.82	18.78	15.02
SPRINGFIELD	669.67	526.59	5.88	5.23	50.96	10.45
WORCESTER7	-	-	1.66	3.87	-	-
DETROIT	1139.43	868.34	21.16	24.24	28.02	24.80
FLINT	1096.32	887.40	26.36	21.48	49.79	40.03
GRAND RAPIDS	422.78	327.59	1.06	2.66	23.93	17.02
LANSING	553.82	523.20	6.12	1.75	54.24	42.00
WARREN	283.46	251.39	2.24	4.48	29.09	34.31
MINNEAPOLIS	525.91	450.10	6.01	3.40	50.45	42.34
ROCHESTER6	-	-	-	0.94	-	-
ST. PAUL	357.67	282.35	3.15	1.40	28.73	28.02
JACKSON	510.62	419.56	12.10	10.37	27.09	41.50
COLUMBIA	239.63	253.46	-	0.92	18.43	15.67
INDEPENDENCE4	211.42	193.44	4.28	0.86	18.83	15.41
KANSAS CITY4	579.62	571.13	10.44	9.79	26.75	26.97
SPRINGFIELD	403.77	335.43	5.02	-	35.74	33.86
ST. LOUIS	909.19	892.91	19.42	21.61	29.75	28.50
LINCOLN	228.73	187.32	0.39	0.39	23.22	32.51
OMAHA	269.71	247.95	4.16	4.65	28.36	27.88
HENDERSON	115.63	109.03	0.78	0.78	5.43	11.64
LAS VEGAS METRO	434.36	365.56	3.87	2.01	22.19	24.20
NORTH LAS VEGAS	349.37	359.97	4.15	1.84	12.44	11.98
RENO	255.30	218.01	2.22	2.66	11.99	6.66
MANCHESTER	265.60	246.43	-	-	27.38	28.29
EDISON TOWNSHIP	83.03	70.02	-	-	4.00	3.00
ELIZABETH	517.73	500.12	4.80	6.40	15.20	14.40
JERSEY CITY	344.92	360.26	5.25	2.83	7.27	8.89
PATERSON	486.32	458.96	4.10	5.47	13.68	13.68
AMHERST TOWN	46.97	48.68	0.85	-	4.27	3.42
BUFFALO4	676.97	570.59	9.95	7.65	27.17	23.73
NEW YORK	283.20	291.40	2.80	2.78	5.61	6.70
ROCHESTER	517.65	444.99	9.97	6.65	22.80	21.37
SYRACUSE	410.55	420.20	4.82	2.07	26.18	20.67
YONKERS	209.21	237.27	3.06	1.53	3.57	8.67
CARY	53.24	51.02	0.74	-	6.66	5.92
CHARLOTTE-MECKLENBURG	308.13	287.73	4.23	2.44	12.96	14.50
FAYETTEVILLE	253.29	242.32	3.49	4.49	15.46	13.46
GREENSBORO	271.08	274.78	2.60	5.19	10.01	14.09
HIGH POINT	251.99	279.77	-	1.92	10.54	13.41
RALEIGH	195.84	192.38	1.73	1.98	10.65	15.35
WILMINGTON	355.01	295.84	-	3.76	22.54	15.03
WINSTON-SALEM	323.15	334.47	2.18	2.61	23.52	21.34
AKRON	419.37	366.63	5.02	3.52	37.67	40.68
CINCINNATI	592.03	484.27	11.11	10.78	39.74	27.61
CLEVELAND	682.94	624.22	9.07	6.80	40.32	44.10
COLUMBUS	326.92	305.20	5.84	4.45	34.94	32.91
DAYTON	481.18	423.24	11.31	12.01	32.50	35.33
TOLEDO5	463.43	456.46	3.83	2.44	19.50	20.54
NORMAN	52.29	88.35	0.90	0.90	14.42	27.95
OKLAHOMA CITY	451.04	450.69	3.97	5.17	28.45	25.17
TULSA	535.59	506.50	5.10	5.61	23.48	33.68
EUGENE4	131.89	141.50	-	-	23.05	32.65
GRESHAM4	187.51	196.03	5.68	-	17.99	16.10
PORTLAND4	259.69	243.93	1.71	1.88	20.04	22.95
SALEM	175.25	179.78	-	1.29	19.40	8.41
ALLENTOWN	288.90	269.42	5.93	0.85	29.65	20.33
ERIE	271.16	192.56	3.93	2.95	40.28	36.35
PHILADELPHIA	572.02	571.10	9.57	10.35	29.42	25.49
PITTSBURGH	458.34	369.27	6.18	6.18	13.65	9.43
CHARLESTON	189.87	144.07	2.50	5.00	9.16	9.16
COLUMBIA	551.55	376.73	6.96	4.64	30.17	23.21
SIOUX FALLS	157.91	141.66	0.65	1.30	35.74	31.84
CHATTANOOGA	455.65	414.49	5.37	5.37	21.47	16.70
CLARKSVILLE	292.64	318.21	3.01	3.76	23.32	24.83
KNOXVILLE	484.70	451.16	3.91	3.91	36.90	29.63
MEMPHIS	797.66	781.12	6.34	8.19	33.24	33.24
MURFREESBORO	286.88	246.43	2.76	0.92	19.31	8.28
NASHVILLE	536.03	486.77	4.30	2.98	31.40	30.74
ABILENE	262.25	179.39	2.56	1.71	30.75	17.08
AMARILLO	326.18	318.31	1.57	4.20	32.51	26.22
ARLINGTON	257.50	246.55	1.64	3.28	14.23	18.61
AUSTIN	241.15	231.53	2.02	1.52	15.81	16.07
BEAUMONT	359.27	426.05	2.54	5.92	27.05	29.59
BROWNSVILLE	172.55	139.41	1.71	-	10.86	8.57
CARROLLTON	67.17	76.41	0.84	1.68	-	0.84
CORPUS CHRISTI	357.78	316.50	2.29	1.97	31.45	32.44
DALLAS	389.04	339.45	6.09	6.34	22.62	17.70
DENTON	135.82	148.17	2.65	0.88	29.10	25.58
EL PASO	206.43	221.22	0.15	2.16	13.25	16.95
FORT WORTH	289.26	287.77	4.32	2.43	20.78	22.67
FRISCO	53.00	61.54	-	1.71	5.13	1.71
GARLAND	103.14	123.86	1.32	1.32	7.93	14.55
GRAND PRAIRIE	159.07	186.44	1.14	2.28	17.67	22.81
HOUSTON	535.71	486.32	6.81	4.29	16.58	17.86
IRVING	110.04	135.00	0.92	1.85	9.25	8.78
KILLEEN	383.05	339.27	2.35	6.25	32.05	32.83
LAREDO	240.59	234.66	1.69	1.69	14.82	16.94
LEWISVILLE	136.43	97.60	2.10	1.05	14.69	12.59
LUBBOCK	443.43	411.20	2.18	0.87	23.96	11.33
MCALLEN	121.65	89.32	3.08	2.31	4.62	11.55
MCKINNEY	83.89	90.76	-	-	14.49	13.73
MESQUITE	167.35	145.90	3.58	0.72	3.58	1.43
MIDLAND4	157.45	143.95	0.90	0.90	19.79	8.10
ODESSA	338.20	360.22	1.00	5.00	17.01	19.01
PASADENA	234.83	191.89	2.68	2.68	30.19	23.48
PLANO	103.14	87.36	1.15	1.15	12.32	7.70
RICHARDSON	86.67	101.79	-	-	7.05	3.02
ROUND ROCK	56.06	53.06	-	1.00	14.02	12.01
SAN ANTONIO	318.82	276.25	3.09	3.09	18.91	20.19
TYLER	327.14	302.37	-	1.03	21.67	40.25
WACO	372.58	322.10	3.20	4.01	26.44	26.44
WICHITA FALLS	236.24	219.03	4.78	0.96	23.91	13.39
PROVO	96.01	59.56	0.89	3.56	22.22	9.78
SALT LAKE CITY	319.67	320.75	2.68	2.68	35.40	28.43
WEST JORDAN	132.10	93.53	0.96	-	22.18	15.43
WEST VALLEY	223.97	234.01	2.32	1.54	27.80	28.58
ALEXANDRIA	92.88	94.31	1.43	-	7.86	5.00
CHESAPEAKE	196.66	187.21	0.45	1.80	6.30	10.35
HAMPTON	126.60	114.96	2.18	2.18	8.73	5.82
NEWPORT NEWS	275.57	227.42	5.53	3.87	25.45	16.05
NORFOLK	282.95	292.42	8.65	5.35	18.95	18.53
PORTSMOUTH	322.39	294.13	10.47	4.19	6.28	18.84
RICHMOND	378.52	343.76	9.30	7.35	13.22	10.77
VIRGINIA BEACH	94.29	85.85	0.68	2.28	6.62	6.85
BELLEVUE	55.57	59.66	-	-	4.09	11.44
EVERETT	263.06	234.91	1.94	1.94	34.95	23.30
SEATTLE	276.18	272.73	1.15	0.66	8.05	6.90
SPOKANE	309.22	274.75	0.48	-	21.06	15.32
TACOMA	422.39	370.97	3.53	3.02	37.80	30.75
VANCOUVER	207.68	190.37	-	5.56	38.94	29.05
GREEN BAY4	168.18	152.80	0.96	-	26.91	23.06
MADISON4	206.68	170.23	0.86	0.86	21.44	15.87
MILWAUKEE	490.73	479.97	6.39	6.72	15.13	16.81
